# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   LOINC: http://loinc.org/rdf/
#   PR: http://purl.obolibrary.org/obo/PR_
#   skos: http://www.w3.org/2004/02/skos/core#
#   wikidata: https://www.wikidata.org/entity/
#   orcid: https://orcid.org/
# license: http://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2023-05-01'
# mapping_set_description: "LOINC part to Protein Ontology mappings. Parts carrying a '^' qualifier denote a measurement context (timing, specimen order, posture, challenge protocol) applied to the same underlying entity; these are asserted as skos:broadMatch, since the LOINC part is narrower than the ontology concept. Unqualified parts use skos:exactMatch. Rows carrying semapv:AgentBasedMatching are the unqualified COMPONENT parts, derived by matching the qualified part's base label to a LOINC COMPONENT part and inheriting the curated target; part type was verified against CompLOINC. Predicate revisions on qualified parts, and the derived unqualified rows, were produced by an LLM agent (semapv:AgentBasedMatching); the underlying subject-object mappings remain the original manual curation."
# mapping_set_id: http://w3id.org/sssom/commons/monarch/mappings/loincpart2pr.sssom.tsv
# mapping_tool: https://claude.com/claude-code
# issue_tracker: https://github.com/monarch-initiative/monarch-mapping-commons/issues
# creator_label: "Monarch Initiative"
# creator_id:
#   - wikidata:Q34645736
#   - orcid:0000-0002-5316-1399
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
LOINC:LP6118-6	Albumin	skos:exactMatch	PR:000003918	albumin	semapv:ManualMappingCuration	
LOINC:LP31978-7	Albumin	skos:exactMatch	PR:000003918	albumin	semapv:ManualMappingCuration	
LOINC:LP15033-1	Lactate dehydrogenase	skos:exactMatch	PR:000050331	lactate dehydrogenase complex	semapv:ManualMappingCuration	
LOINC:LP32142-9	Protein	skos:exactMatch	PR:000000001	protein	semapv:ManualMappingCuration	
LOINC:LP15694-0	Lactoferrin	skos:exactMatch	PR:000009978	lactoferrin	semapv:ManualMappingCuration	
LOINC:LP14697-4	Thyroglobulin	skos:exactMatch	PR:000016283	thyroglobulin	semapv:ManualMappingCuration	
LOINC:LP306738-8	protein^1st specimen post dose sincalide	skos:broadMatch	PR:000000001	protein	semapv:ManualMappingCuration	
LOINC:LP307536-5	protein^1st tube	skos:broadMatch	PR:000000001	protein	semapv:ManualMappingCuration	
LOINC:LP307537-3	protein^2nd specimen	skos:broadMatch	PR:000000001	protein	semapv:ManualMappingCuration	
LOINC:LP306739-6	protein^2nd specimen post dose sincalide	skos:broadMatch	PR:000000001	protein	semapv:ManualMappingCuration	
LOINC:LP307538-1	protein^2nd tube	skos:broadMatch	PR:000000001	protein	semapv:ManualMappingCuration	
LOINC:LP307539-9	protein^3rd specimen	skos:broadMatch	PR:000000001	protein	semapv:ManualMappingCuration	
LOINC:LP306740-4	protein^3rd specimen post dose sincalide	skos:broadMatch	PR:000000001	protein	semapv:ManualMappingCuration	
LOINC:LP307540-7	protein^3rd tube	skos:broadMatch	PR:000000001	protein	semapv:ManualMappingCuration	
LOINC:LP307541-5	protein^4th specimen	skos:broadMatch	PR:000000001	protein	semapv:ManualMappingCuration	
LOINC:LP306741-2	protein^4th specimen post dose sincalide	skos:broadMatch	PR:000000001	protein	semapv:ManualMappingCuration	
